cellid,xarfcn,fc,signal,lat,lon,acc,speed,alt,rsrq,rssnr,ss,ta
5122562,66611,2127.5,-90,39.0621285,-94.5863656,16.4,0.9,248.5,-14,21.6,29,3
5122562,66611,2127.5,-84,39.0622347,-94.5861504,16.8,1,250.3,-12,17.4,31,-1
5122562,66611,2127.5,-84,39.062237,-94.5861345,22.2,0.9,248.8,-12,19,31,-1
5122562,66611,2127.5,-82,39.0622628,-94.5860929,16.2,1,250.3,-10,18.6,31,-1
5122562,66611,2127.5,-87,39.0623066,-94.5860557,18.2,1,250.3,-13,17,29,-1
5122562,66611,2127.5,-87,39.0624064,-94.58599,19.2,1.1,251.1,-13,18.4,29,-1
5122562,66611,2127.5,-81,39.0625343,-94.5858669,16.1,1.1,250.3,-7,15.8,29,-1
5122562,66611,2127.5,-81,39.0626105,-94.5858508,17.6,1.1,251.1,-7,19.2,29,-1
5122562,66611,2127.5,-88,39.0626814,-94.5858093,18.3,1.2,251.1,-10,18,26,2
5122562,66611,2127.5,-88,39.062732,-94.5856992,17.4,1.3,254.7,-10,18,26,2
5122562,66611,2127.5,-87,39.0627816,-94.5856297,15.7,1.2,251.1,-8,15.8,26,2
5122562,66611,2127.5,-87,39.0628264,-94.5855941,15.1,1,251.1,-8,18.2,26,2
5122562,66611,2127.5,-88,39.0629014,-94.5856267,13.8,1.2,255,-16,18,30,-1
5122562,66611,2127.5,-88,39.0630171,-94.5856586,14,1.8,258.5,-16,18.2,30,-1
5122562,66611,2127.5,-78,39.0631204,-94.5856529,13.5,1.5,258.7,-11,18.8,31,2
5122562,66611,2127.5,-78,39.0631937,-94.585666,14.4,1.1,257.9,-11,14,31,2
